"district","id"
"KORIYA","277"
"KOTA","278"
"KOTTAYAM","279"
"KOWARDHA","280"
"KOZHIKODE","281"
"KRISHNA","282"
"KRISHNAGIRI","283"
"KULU","284"
"KUPWARA","285"
"KURNOOL","286"
"KURUKSHETRA","287"
"KUTCH","288"
"LADAKH (LEH)","289"
"LAKHIMPUR","290"
"LAKSHADWEEP","291"
"LALITPUR","292"
"LATUR","293"
"LOHARDAGA","294"
"LOHIT","295"
"LOWER SUBANSIRI","296"
"LUCKNOW","297"
"LUDHIANA","298"
"MADHEPURA","299"
"MADHUBANI","300"
"MADURAI","301"
"MAHAMAYA NAGAR","302"
"MAHARAJGANJ","303"
"MAHASAMUND","304"
"MAHBUBNAGAR","305"
"MAHENDRAGARH","306"
"MAINPURI","307"
"MALAPURAM","308"
"MALDA","309"
"MALKANGIRI","310"
"MANDI","311"
"MANDLA","312"
"MANDSAUR","313"
"MANDYA","314"
"MATHURA","315"
"MAU","316"
"MAYURBHANJ","317"
"MEDAK","318"
"MEERUT","319"
"MEHSANA","320"
"MIDNAPORE","321"
"MIRZAPUR","322"
"MOGA","323"
"MON","324"
"MONGHYR","325"
"MORADABAD","326"
"MORENA","327"
"MORIGAON","328"
"MUKTSAR","329"
"MUMBAI","330"
"MURSHIDABAD","331"
"MUZAFFARNAGAR","332"
"MUZAFFARPUR","333"
"MYSORE","334"
"N. C. HILLS","335"
"NADIA","336"
"NAGAPATINAM","337"
"NAGAUR","338"
"NAGPUR","339"
"NAINITAL","340"
"NALANDA","341"
"NALBARI","342"
"NAMAKKAL","343"
"NANDED","344"
"NANDURBAR","345"
"NARMADA","346"
"NARSINGHPUR","347"
"NASIK","348"
"NAVSARI","349"
"NAWANSHAHAR","350"
"NAWAPARA","351"
"NAWARANGPUR","352"
"NAYAGARH","353"
"NEEMUCH","354"
"NELLORE","355"
"NICOBAR","356"
"NILGIRI","357"
"NIZAMABAD","358"
"NORTH 24 PARGANAS","359"
"NORTH BARAMULA","360"
"NORTH DINAJPUR","361"
"NORTH TRIPURA","362"
"NOWGONG","363"
"OSMANABAD","364"
"PAKUR","365"
"PALAKKED","366"
"PALAMAU","367"
"PALI","368"
"PANCHKULA","369"
"PANCHMAHAL","370"
"PANIPAT","371"
"PANNA","372"
"PAPUMPARA","373"
"PARBHANI","374"
"PATAN","375"
"PATHANAMTHITTA","376"
"PATIALA","377"
"PATNA","378"
"PERAMBULUR","379"
"PHEK","380"
"PILIBHIT","381"
"PITHORAGARH","382"
"PONDICHERRY","383"
"PORBANDAR","384"
"PRAKASAM","385"
"PRATAPGARH","386"
"PUDUKOTTAI","387"
"PULWAMA","388"
"PUNE","389"
"PURI","390"
"PURNEA","391"
"PURULIA","392"
"RAE BAREILLY","393"
"RAICHUR","394"
"RAIGAD","395"
"RAIGARH","396"
"RAIPUR","397"
"RAISEN","398"
"RAJGARH","399"
"RAJKOT","400"
"RAJNANDGAON","401"
"RAJSAMAND","402"
"RAMANATHAPURAM","403"
"RAMPUR","404"
"RANCHI","405"
"RANGAREDDY","406"
"RATLAM","407"
"RATNAGIRI","408"
"RAYAGADA","409"
"REWA","410"
"REWARI","411"
"ROHTAK","412"
"ROHTAS","413"
"ROPAR","414"
"RUDRAPRAYAG","415"
"SABARKANTHA","416"
"SAGAR","417"
"SAHARANPUR","418"
"SAHARSA","419"
"SAHEBGANJ","420"
"SAHUJI MAHARAJ  NAGAR","421"
"SALEM","422"
"SAMASTIPUR","423"
"SAMBALPUR","424"
"SANGLI","425"
"SANGRUR","426"
"SANT RAVIDAS NAGAR","427"
"SANTHAL PARGANAS","428"
"SARAN","429"
"SATARA","430"
"SATNA","431"
"SAWAI MADHOPUR","432"
"SEHORE","433"
"SENAPATI","434"
"SEONI","435"
"SHAHDOL","436"
"SHAHJAHANPUR","437"
"SHAJAPUR","438"
"SHEOPUR","439"
"SHIMOGA","440"
"SHIVPURI","441"
"SHOLAPUR","442"
"SHRAWASTI NAGAR","443"
"SIBSAGAR","444"
"SIDDHARTH NAGAR","445"
"SIDHI","446"
"SIKAR","447"
"SIKKIM","448"
"SIMLA","449"
"SINDHUDURG","450"
"SIRMUR","451"
"SIROHI","452"
"SIRSA","453"
"SITAMARHI","454"
"SITAPUR","455"
"SIVAGANGA","456"
"SIWAN","457"
"SOLAN","458"
"SONBHADRA","459"
"SONEPAT","460"
"SONEPUR","461"
"SONITPUR","462"
"SOUTH 24 PARGANAS","463"
"SOUTH DINAJPUR","464"
"SOUTH TRIPURA","465"
"SRI GANGANAGAR","466"
"SRIKAKULAM","467"
"SRINAGAR","468"
"SULTANPUR","469"
"SUNDARGARH","470"
"SUPAUL","471"
"SURAT","472"
"SURENDRANAGAR","473"
"SURGUJA","474"
"TAWANG","475"
"THANE","476"
"THANJAVUR","477"
"THENI","478"
