"districtid","apr","aug","dec","feb","jan","jul","jun","mar","may","nov","oct","sep","year","states","stateid","district"
"5","85.099999999999994","250.59999999999999","5.4000000000000004","6.7000000000000002","6.0999999999999996","410.69999999999999","118.5","153.69999999999999","295.5","34.799999999999997","222","308.69999999999999","2005","MIZORAM","24","AIZWAL"
"109","0","356.60000000000002","4.7999999999999998","22.600000000000001","0","229.19999999999999","109","4.5999999999999996","22.399999999999999","0","0","139.69999999999999","2007","MADHYA PRADESH","20","DAMOH"
"42","13","107","0","0","50","300.19999999999999","234.80000000000001","0","62.399999999999999","0","41.899999999999999","112.7","2004","UTTAR PRADESH","33","BARABANKI"
"105","14.699999999999999","187.90000000000001","18.699999999999999","0","0","52.200000000000003","204.40000000000001","0","25.199999999999999","32.200000000000003","189.5","186","2007","ANDHRA PRADESH","2","CUDDAPAH"
"105","0","97.900000000000006","1.3999999999999999","33.700000000000003","0","45.100000000000001","8.9000000000000004","47.600000000000001","26.699999999999999","185","95.299999999999997","107.09999999999999","2008","ANDHRA PRADESH","2","CUDDAPAH"
"143","33.700000000000003","216.40000000000001","0.20000000000000001","1.8999999999999999","5","208.59999999999999","154.40000000000001","0","60.399999999999999","0.40000000000000002","147","155.30000000000001","2004","ANDHRA PRADESH","2","EAST GODAVARI"
"143","55","103.59999999999999","0","6.2000000000000002","6.2000000000000002","179.69999999999999","115.8","8.5","25.300000000000001","19.899999999999999","362","545.60000000000002","2005","ANDHRA PRADESH","2","EAST GODAVARI"
"143","61.799999999999997","288.80000000000001","0","0","0","107","98.400000000000006","8.9000000000000004","66.400000000000006","45","277.80000000000001","229.90000000000001","2006","ANDHRA PRADESH","2","EAST GODAVARI"
"143","16.199999999999999","182.59999999999999","1.3","10.5","0","163.59999999999999","221.80000000000001","0.80000000000000004","26.100000000000001","8.6999999999999993","167.59999999999999","348.5","2007","ANDHRA PRADESH","2","EAST GODAVARI"
"143","8.8000000000000007","280","1.7","49.799999999999997","0","212.09999999999999","179.30000000000001","109.2","50.100000000000001","60.200000000000003","75.700000000000003","96.599999999999994","2008","ANDHRA PRADESH","2","EAST GODAVARI"
"183","9.4000000000000004","47.5","0","0.40000000000000002","3.5","192.19999999999999","102.90000000000001","7","61.399999999999999","18.699999999999999","132.80000000000001","183.69999999999999","2004","ANDHRA PRADESH","2","GUNTUR"
"183","7.5999999999999996","76.200000000000003","3.2999999999999998","5.2000000000000002","0.29999999999999999","236","22.199999999999999","4.7000000000000002","63.299999999999997","18.600000000000001","237.40000000000001","277.89999999999998","2005","ANDHRA PRADESH","2","GUNTUR"
"183","73.599999999999994","78.900000000000006","0","0","0","52.600000000000001","86.5","45.200000000000003","63.600000000000001","65.400000000000006","238.80000000000001","148","2006","ANDHRA PRADESH","2","GUNTUR"
"183","15.4","157.69999999999999","0.69999999999999996","12.1","0","167.30000000000001","243.59999999999999","0","32.799999999999997","40.799999999999997","115.7","222.5","2007","ANDHRA PRADESH","2","GUNTUR"
"183","5.2999999999999998","297.5","4.2999999999999998","45.299999999999997","0.40000000000000002","178.69999999999999","95","84.099999999999994","2.5","133.30000000000001","39.299999999999997","78.799999999999997","2008","ANDHRA PRADESH","2","GUNTUR"
"201","59","68.700000000000003","0","0.59999999999999998","39.5","221.40000000000001","29.399999999999999","32.399999999999999","41.899999999999999","0.20000000000000001","72.799999999999997","118.2","2004","ANDHRA PRADESH","2","HYDERABAD"
"201","24.800000000000001","115.40000000000001","0","10.300000000000001","40","369.69999999999999","88.900000000000006","18.699999999999999","21.800000000000001","0","221.69999999999999","220.59999999999999","2005","ANDHRA PRADESH","2","HYDERABAD"
"201","67.900000000000006","225.90000000000001","0","0","0","156.09999999999999","78.700000000000003","41.600000000000001","100.3","33.5","17.800000000000001","201.09999999999999","2006","ANDHRA PRADESH","2","HYDERABAD"
"201","36.100000000000001","194","0","0","0","96.900000000000006","117.2","0","16.899999999999999","22.399999999999999","18.100000000000001","250","2007","ANDHRA PRADESH","2","HYDERABAD"
"201","20.5","471.80000000000001","0","75.400000000000006","0","88.099999999999994","60","150","13.300000000000001","47.299999999999997","61.799999999999997","204.09999999999999","2008","ANDHRA PRADESH","2","HYDERABAD"
"249","60.299999999999997","151.30000000000001","0","39.5","74.900000000000006","249.40000000000001","57.799999999999997","3.7000000000000002","30.399999999999999","7.0999999999999996","80.700000000000003","116.2","2004","ANDHRA PRADESH","2","KARIMNAGAR"
"249","13.199999999999999","189.30000000000001","2.7999999999999998","15.800000000000001","73.599999999999994","463.69999999999999","188.5","85.700000000000003","24.800000000000001","0","213.69999999999999","373.5","2005","ANDHRA PRADESH","2","KARIMNAGAR"
"249","54.299999999999997","450.80000000000001","0","0","0","182.19999999999999","93.900000000000006","89.799999999999997","27.5","93.099999999999994","15.6","503.80000000000001","2006","ANDHRA PRADESH","2","KARIMNAGAR"
"249","12.4","225.90000000000001","0","2","0","128.30000000000001","183.80000000000001","0.10000000000000001","33.200000000000003","12.4","36.200000000000003","312.19999999999999","2007","ANDHRA PRADESH","2","KARIMNAGAR"
"249","5.4000000000000004","302.69999999999999","0","1","0.20000000000000001","184.19999999999999","131.90000000000001","98.700000000000003","8.0999999999999996","3.6000000000000001","11.5","150.30000000000001","2008","ANDHRA PRADESH","2","KARIMNAGAR"
"259","19.600000000000001","433.5","0","0.5","7.2999999999999998","291.30000000000001","107.2","0.40000000000000002","31.600000000000001","30.699999999999999","79.200000000000003","111.40000000000001","2004","ANDHRA PRADESH","2","KHAMMAM"
"259","17.899999999999999","203.09999999999999","4.9000000000000004","12.9","20.100000000000001","415.19999999999999","83.700000000000003","0.90000000000000002","11.5","14.1","159.30000000000001","607.5","2005","ANDHRA PRADESH","2","KHAMMAM"
"259","47.100000000000001","482.30000000000001","0","0","0","196.30000000000001","145.09999999999999","17.100000000000001","57.5","36.299999999999997","36","375.69999999999999","2006","ANDHRA PRADESH","2","KHAMMAM"
"259","21.399999999999999","332.89999999999998","0","9","0","220","174.09999999999999","0","8.9000000000000004","5","142.59999999999999","289.10000000000002","2007","ANDHRA PRADESH","2","KHAMMAM"
